time,status,waterLevel,waterSpeed
1:40:40 PM,AMAN,0,0
1:40:41 PM,AMAN,0,0
1:40:42 PM,AMAN,0,0
1:40:43 PM,AMAN,0,0
1:40:45 PM,AMAN,0,0
1:40:46 PM,AMAN,0,0
1:40:47 PM,AMAN,0,0
1:40:49 PM,AMAN,0,0
1:40:50 PM,AMAN,0,0
1:40:51 PM,AMAN,0,0
1:40:52 PM,AMAN,0,0
1:40:54 PM,AMAN,0,0
1:40:55 PM,AMAN,0,0
1:40:59 PM,AMAN,0,0
1:41:00 PM,AMAN,0,0
1:41:02 PM,AMAN,0,0
1:41:03 PM,AMAN,0,0
1:41:05 PM,AMAN,0,0
1:41:06 PM,AMAN,0,0
1:41:07 PM,AMAN,0,0
1:41:08 PM,AMAN,0,0
1:41:10 PM,AMAN,0,0
1:41:11 PM,AMAN,0,0
1:41:12 PM,AMAN,0,0
1:41:13 PM,AMAN,0,0
1:41:14 PM,AMAN,0,0
1:41:15 PM,AMAN,0,0
1:41:17 PM,AMAN,0,0
1:41:18 PM,AMAN,0,0
1:41:19 PM,AMAN,0,0
